State,City,percent_completed_hs,poverty_rate,Median Income,Lat,Lng,cityarea,city_name,city_type,county
AL,Bridgeport city,74.9,34.7,28571,34.9475807,-85.7144155,Bridgeport city,Bridgeport,city,
AL,Brighton city,78.6,33,22146,33.4342755,-86.9472148,Brighton city,Brighton,city,
AL,Brilliant town,75.9,22.5,25893,34.0253797,-87.75835740000001,Brilliant town,Brilliant,town,
AL,Bristow Cove CDP,65.1,39.7,(X),34.079818599999996,-86.2844242,Bristow Cove CDP,Bristow Cove,CDP,
AL,Brook Highland CDP,96.2,11.5,60212,33.4301076,-86.6805421,Brook Highland CDP,Brook Highland,CDP,
AL,Brookside town,78.7,19.2,34554,33.6378825,-86.91666109999998,Brookside town,Brookside,town,
AL,Brookwood town,83.1,10.8,51515,33.255671899999996,-87.32083359999999,Brookwood town,Brookwood,town,
AL,Broomtown CDP,66.2,23.8,28750,34.360664,-85.520981,Broomtown CDP,Broomtown,CDP,
AL,Brundidge city,77.2,32.4,23819,31.7201615,-85.8160567,Brundidge city,Brundidge,city,
AL,Bucks CDP,100,0,-,31.0097328,-88.0248275,Bucks CDP,Bucks,CDP,
AL,Butler town,80.2,25.3,28950,32.089590799999996,-88.2219652,Butler town,Butler,town,
AL,Calera city,89.1,5.8,62893,33.1028965,-86.7535975,Calera city,Calera,city,
AL,Calvert CDP,22.8,79.4,-,31.1551748,-88.0099997,Calvert CDP,Calvert,CDP,
AL,Camden city,82.8,31.9,28375,31.9909813,-87.29054559999999,Camden city,Camden,city,
AL,Camp Hill town,76.6,36.6,25118,32.8004059,-85.6535659,Camp Hill town,Camp Hill,town,
AL,Carbon Hill city,65.4,32.2,25990,33.8917742,-87.52612359999999,Carbon Hill city,Carbon Hill,city,
AL,Cardiff town,72.7,30,(X),33.6456604,-86.9336061,Cardiff town,Cardiff,town,
AL,Carlisle-Rockledge CDP,73.1,17.2,35938,34.128984499999994,-86.1202531,Carlisle-Rockledge CDP,Carlisle-Rockledge,CDP,
AL,Carlton CDP,77,18.9,(X),31.343224,-87.8455522,Carlton CDP,Carlton,CDP,
AL,Carolina town,87.8,7.4,50278,31.240728499999996,-86.52773509999999,Carolina town,Carolina,town,
AL,Carrollton town,71,29.1,27857,33.26178710000001,-88.09502629999999,Carrollton town,Carrollton,town,
AL,Castleberry town,75.9,39.6,20677,31.2990599,-87.02247209999999,Castleberry town,Castleberry,town,
